referee_id,name,birthdate,aka,n_fights,ko_tko,submission,decision,draws,no_contests,disqualifications,country,city
ab41432a837f4d84b34487904c9a74d2,Dan Miragliotta,,Big,1310,456,319,514,7,9,5,United States,New Jersey
2d1bcaf9a15a4fa78da9ef8b264189cc,John McCarthy,1962-10-12,Big,1121,407,314,374,10,15,1,United States,"Los Angeles, California"
7e95ffd4b00344dc8d79f3868379812e,Mario Yamasaki,,nan,490,164,125,190,6,2,3,,
ed61be969de346afbeb0bb604be66b40,Herb Dean,1970-09-30,nan,2440,844,598,947,13,30,8,United States,"Pasadena, California"
ae87a53866794a11a5b88e14d84dfe3b,Steve Mazzagatti,,nan,491,155,143,185,3,3,2,,
f852f1be329e480fa84b59d694da3c7e,Troy Waugh,,nan,147,42,54,46,3,0,2,United States,"Ramrod Key, Florida"
4876bdae32d84d5ba5355b2c77d8b86c,Helio Vigio,,nan,4,1,3,0,0,0,0,Brazil,
89d2769656084090af39b28bb8a54ef8,Jason Herzog,,nan,1162,366,273,497,7,13,6,,
45a3e1bf542d4832b9fe4d27293e6198,Marc Goddard,1974-08-16,nan,1522,529,379,580,15,10,5,England,"Birmingham, West Midlands"
096e7957678f4fb0b17b787afa7f19c2,Mike Beltran,1973-08-31,nan,751,269,173,289,9,8,2,United States,California
6695d58412a341ecb0801d81aadb8f4c,Mark Smith,,nan,815,272,153,373,4,7,6,United States,"Las Vegas, Nevada"
1730c02239804840bccea2ec420836df,Keith Peterson,,No Nonsense,1303,353,337,585,10,12,6,United States,
13d0882a53254f3d966389278fc3ff20,Steve Perceval,,nan,264,94,74,92,2,1,1,,
6f2d7dcf0d3848e3983add48cd6b2b14,Mark Craig,,nan,26,9,3,14,0,0,0,,
f8da2c36392048949a88f17b67b968f6,Vitor Ribeiro,,nan,126,30,21,69,4,2,0,,
295ad97bd09a49879f226f5ed978289d,Kevin Sataki,,nan,107,46,15,45,0,0,1,Sweden,
d0c66b9a88db4fd3b754777b1812b067,Thomas Fan,,nan,115,30,38,42,4,1,0,Hong Kong,
fc35ee2b91da4532b1ae1e3832ede9b8,Daniel Movahedi,1985-05-26,nan,527,173,131,214,1,6,2,England,"London, Greater London"
02d7ba21827347d0bd224a27f6892423,Chris Tognoni,,nan,827,243,184,378,4,15,3,United States,"Las Vegas, Nevada"
4e0f667d29c844bd8b85b572de5e218c,Lukasz Bosacki,,nan,999,355,248,374,8,5,4,Poland,
2a8f45eba02d4857916b19a30158e6e3,Kevin MacDonald,,nan,450,143,114,184,2,6,1,,
737a9b78e7d14c8997d10fe9a73137a5,Jerin Valel,,nan,190,51,43,92,2,1,1,,
9ecbb1488e7c46aeaf6ca1885a6fedeb,Leon Roberts,,nan,388,131,75,178,2,1,1,,
b45524764dff49e49601aa54a5c5d28b,Blake Grice,,nan,297,100,62,130,1,2,2,,
27699e5084ba40a2aaf471e5a8da0f13,Yves Lavigne,,nan,410,134,108,166,1,1,0,,
d8e8768738064eb98eadc392092f2e86,Osiris Maia,,nan,214,76,50,81,5,2,0,Brazil,
154b7665eab849a293d08c488900b06f,Todd Anderson,,nan,257,78,72,104,1,2,0,,
20bf4383b3f2497bb67508dc55494f7f,Rob Madrigal,,nan,284,96,81,100,1,4,2,United States,
78d176ec56d8417288916ebf1dcab79b,John Sharp,,nan,109,30,31,46,0,1,1,,
308d5f20ab154267be31fd098207e452,Josh Rosenthal,,nan,546,190,166,176,3,6,4,,
62f09b6f3b5b484981a4e65ff3d54333,Kevin Mulhall,,nan,351,98,111,128,7,4,0,United States,
